State,Year,HLp,EIr,PerTscr,Dr,state_per_capita_fund,drinks_per_capita,Health_care_expenditure,age_under5,Total_population,uninsured_under18_rate,Median_household_income,under18_poverty_rate,F_income_below_poverty_rate,Per_rep_women_uninsured,Per_women_breastfed,EI,TDia,EIrd
Nevada,2019,1.599052413384661,1.0660349422564406,97.22182236936808,7.077287533313592,10.76,740.85999,8114,184168,3080156,80.01622789707982,63276,169.32126176660884,87.2961153981665,0.149543,0.838,36,239,150.62761506276152
New Jersey,2019,0.9426057813154588,0.53414327607876,98.91635414292524,3.8437369082530375,29.21,515.21997,11264,511925,8882190,43.163201779800616,85751,123.0361991966881,61.8722270923533,0.108516,0.825,51,367,138.96457765667574
New Mexico,2019,1.4939759036144578,0.9156626506024096,96.23411557369448,15.325301204819278,139.6,500.31,8459,116978,2096829,57.49392901432713,51945,249.2731136951182,137.01880026802905,0.117691,0.834,19,318,59.74842767295598
North Carolina,2019,1.9547402450943536,1.378342480515249,99.22992755184934,4.920264975899891,14.93,482.78,8619,596583,10488084,57.65510330035625,57341,195.31411174737428,96.48128681760896,0.15829,0.834,165,589,280.1358234295416
North Dakota,2019,1.3489587724475172,1.011719079335638,99.31340534204136,8.346682404519012,58.6,700.65002,10653,50567,762062,77.66834643481235,64577,102.46047714860593,64.82541726250469,0.08892,0.857,12,99,121.21212121212122
Ohio,2019,1.9445831630877255,0.8625777454941663,97.80214900985705,26.792875410481077,14.01,455.13,10173,686672,11689100,47.88984119442262,58642,184.4525356248907,91.84657958438527,0.082849,0.795,114,3541,32.194295396780575
Oklahoma,2019,1.6564729867482162,0.891946992864424,99.31453398856851,1.6564729867482162,43.61,410.32999,8923,251083,3956971,85.83540263916082,54449,199.34632134637266,108.02312878040982,0.215827,0.773,42,78,538.4615384615385
Oregon,2019,2.25587367107442,1.679905925268185,98.77213359565744,27.98243298375291,35.25,592.40997,9635,223364,4217737,41.02753104268876,67058,130.87230806826244,65.89349130960818,0.087487,0.872,70,1166,60.03430531732418
Pennsylvania,2019,1.2325015216068167,0.8597078514911747,98.03541327923384,5.515824710894705,15.06,532.34003,11175,695661,12801989,45.62394373331108,63463,168.67996054732635,82.26442774726908,0.072542,0.748,113,725,155.86206896551724
Rhode Island,2019,1.599698880210784,1.0350992754305073,99.24355621964888,13.832690317116777,57.26,556.08002,10988,54802,1059361,18.980733261907787,71169,140.00089971658926,65.70741678567285,0.062226,0.824,11,147,74.82993197278911
South Carolina,2019,2.1261516654854713,1.283352807094834,97.66898022561875,5.688892294136802,27.03,473.62,8345,289537,5148714,58.23314068933893,56227,197.4873175096067,98.40740216710226,0.141512,0.806,67,297,225.58922558922558
South Dakota,2019,2.383181547365733,0,96.11420157068062,5.702612988339433,35.48,525.72998,11627,58859,884659,77.98081982216995,59533,149.80121843091268,73.15907913771856,0.132313,0.889,0,67,0
Tennessee,2019,1.9363242697710443,1.1617945618626266,99.00659943300646,18.471360003755297,51.24,479.94,8827,407026,6829174,50.288305369347704,56071,196.65062031685625,99.58012494972206,0.130436,0.788,99,1574,62.89707750952986
Texas,2019,1.044362466638421,0.34002498913809065,98.68232186179291,4.601131797463846,17.16,505.75,8028,1981755,28995881,127.47262824086508,64034,191.89903081892535,104.51261592725545,0.248172,0.841,126,1705,73.90029325513196
Utah,2019,1.9504215427205231,1.3212533031332578,99.2651191839284,12.98183801015058,33.02,291.03,7193,245883,3205958,83.06515796394338,75780,99.34730430266305,61.041988625014454,0.120659,0.914,63,619,101.77705977382875
